Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA20,EMA50,SMA200,RSI,BB_middle,BB_std,BB_upper,BB_lower,TR,ATR
2024-01-02 00:00:00-05:00,10.59000015258789,10.630000114440918,10.539999961853027,10.600000381469727,10.600000381469727,207800,0.0,0.0,10.600000381469727,10.600000381469727,,,,,,,,
2024-01-03 00:00:00-05:00,10.630000114440918,10.649999618530273,10.619999885559082,10.649999618530273,10.649999618530273,129500,0.0,0.0,10.604762213570732,10.601961135864258,,,,,,,0.049999237060546875,
2024-01-04 00:00:00-05:00,10.6899995803833,10.6899995803833,10.649999618530273,10.649999618530273,10.649999618530273,4900,0.0,0.0,10.609070537852594,10.603844997929592,,,,,,,0.039999961853027344,
2024-01-05 00:00:00-05:00,10.609999656677246,10.680000305175781,10.609999656677246,10.65999984741211,10.65999984741211,16500,0.0,0.0,10.613920948286832,10.60604714888969,,,,,,,0.07000064849853516,
2024-01-08 00:00:00-05:00,10.680000305175781,10.680000305175781,10.569999694824219,10.640000343322754,10.640000343322754,32400,0.0,0.0,10.616404700195016,10.607378646710595,,,,,,,0.1100006103515625,
2024-01-09 00:00:00-05:00,10.59000015258789,10.654999732971191,10.59000015258789,10.645000457763672,10.645000457763672,77700,0.0,0.0,10.619128105677746,10.608854011849932,,,,,,,0.06499958038330078,
2024-01-10 00:00:00-05:00,10.649999618530273,10.73799991607666,10.579999923706055,10.619999885559082,10.619999885559082,150800,0.0,0.0,10.619211132333112,10.609291104936565,,,,,,,0.15799999237060547,
2024-01-11 00:00:00-05:00,10.635000228881836,10.654999732971191,10.630000114440918,10.640000343322754,10.640000343322754,4700,0.0,0.0,10.621191057189268,10.610495388794847,,,,,,,0.034999847412109375,
2024-01-12 00:00:00-05:00,10.5600004196167,10.680000305175781,10.5600004196167,10.640000343322754,10.640000343322754,20700,0.0,0.0,10.622982417773411,10.611652445835158,,,,,,,0.11999988555908203,
2024-01-16 00:00:00-05:00,10.579999923706055,10.640000343322754,10.569999694824219,10.619999885559082,10.619999885559082,31200,0.0,0.0,10.622698367086333,10.611979796412568,,,,,,,0.07000064849853516,
