Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA20,EMA50,SMA200,RSI,BB_middle,BB_std,BB_upper,BB_lower,TR,ATR
2024-06-26 00:00:00-04:00,186.5399932861328,197.75999450683594,186.36000061035156,196.3699951171875,95737100,0.0,0.0,196.3699951171875,196.3699951171875,,,,,,,,
2024-06-27 00:00:00-04:00,195.1699981689453,198.72000122070312,194.0500030517578,197.4199981689453,72746500,0.0,0.0,196.4699954078311,196.4111717074525,,,,,,,4.6699981689453125,
2024-06-28 00:00:00-04:00,199.5500030517578,203.1999969482422,195.25999450683594,197.8800048828125,95438100,0.0,0.0,196.604282024496,196.46877300844702,,,,,,,7.94000244140625,
2024-07-01 00:00:00-04:00,201.02000427246094,213.22999572753906,200.85000610351562,209.86000061035156,135691400,0.0,0.0,197.8667314136251,196.99391918891388,,,,,,,15.349990844726562,
2024-07-02 00:00:00-04:00,218.88999938964844,231.3000030517578,218.05999755859375,231.25999450683594,205047900,0.0,0.0,201.04704218440708,198.33768684844023,,,,,,,21.44000244140625,
2024-07-03 00:00:00-04:00,234.55999755859375,248.35000610351562,234.25,246.38999938964844,166561500,0.0,0.0,205.3654190610967,200.22209126182096,,,,,,,17.090011596679688,
2024-07-05 00:00:00-04:00,249.80999755859375,252.3699951171875,242.4600067138672,251.52000427246094,154501200,0.0,0.0,209.7610938431314,202.23377412498334,,,,,,,9.909988403320312,
2024-07-08 00:00:00-04:00,247.7100067138672,259.44000244140625,244.57000732421875,252.94000244140625,157219600,0.0,0.0,213.8733708524909,204.22225366680385,,,,,,,14.8699951171875,
2024-07-09 00:00:00-04:00,251.0,265.6099853515625,250.3000030517578,262.3299865722656,160210900,0.0,0.0,218.48828663532657,206.50098829054744,,,,,,,15.309982299804688,
2024-07-10 00:00:00-04:00,262.79998779296875,267.5899963378906,257.8599853515625,263.260009765625,128519400,0.0,0.0,222.75226026678357,208.72683226996227,,,,,,,9.730010986328125,
2024-07-11 00:00:00-04:00,263.29998779296875,271.0,239.64999389648438,241.02999877929688,221707300,0.0,0.0,224.4929972679753,209.99362311346562,,,,,,,31.350006103515625,
2024-07-12 00:00:00-04:00,235.8000030517578,251.83999633789062,233.08999633789062,248.22999572753906,155955800,0.0,0.0,226.75366378793376,211.49308870617438,,,,,,,18.75,
2024-07-15 00:00:00-04:00,255.97000122070312,265.6000061035156,251.72999572753906,252.63999938964844,146912900,0.0,0.0,229.21902908333516,213.1066930467028,,,,,,,17.370010375976562,
